RMSE	Rsquared	TF
6.13688272788105	0.745344874135319	"IRF8"
18.6456861383541	0.526796646712841	"SPI1"
7.89711529768802	0.739607736405869	"STAT3"
4.29680619748708	0.744676733885446	"HMGA1"
6.54878665403515	0.584302348954838	"IRF1"
7.6058382506521	0.628064521499557	"SRF"
14.2658573934484	0.192463541468706	"TAL1"
3.98869391164277	0.750076247019137	"E2F3"
7.01001230557516	0.597930616096429	"JUND"
2.96056992243541	0.874037341939728	"STAT5A"
5.28305000217359	0.4184445666294	"IRF5"
5.45473656785741	0.186415519961832	"TCF3"
4.41186362698438	0.709566112654964	"FOXO1"
4.72347867995828	0.656675405715797	"VDR"
13.7681291815537	0.669619298773501	"ESRRA"
5.49261075473204	0.544949525804916	"ELF2"
3.70407766511424	0.650961375594446	"ZNF740"
4.45823588579409	0.774602933275811	"EBF1"
6.47022923172853	0.124228206633833	"MAZ"
5.97920824096759	0.825577937030942	"BCL6"
5.15474555460693	0.178484510060888	"AR"
6.89692159527164	0.0297678399570293	"RFX5"
5.01144566689497	0.332747601235997	"MAFK"
6.46062396502566	0.616837632962544	"YBX1"
2.81539468880085	0.487074919831474	"RUNX1"
15.843648456854	0.012905593420206	"TBX5"
6.35179840448583	0.19782974981687	"ELF1"
2.20885259531918	0.920762541072203	"ZEB1"
4.15579237448712	0.686957808689592	"ERG"
5.95218450068225	0.507547600194818	"RARA"
3.0454596853588	0.807206284295711	"ETS1"
