case_submitter_id	SRF	FOXO1	KLF16	EBF1	STAT5A	BCL6	IRF8	ZEB1	TCF3	RUNX1	FOXJ3	TAL1	RFX5	FOXO3	VDR	ELF2	ETS1	YBX1	IRF1	ELF1	RARA	E2F3	ZNF740	MAFK	MAZ	ESRRA	AR	JUND	SPI1	IRF5	TBX5	ERG	HMGA1	STAT3	SP2
C3L-00279	253.1787646577537	203.49940619502746	170.58547767820522	75.8761093269033	127.50854433877306	177.1703809679343	193.09771328322844	125.32652995551113	260.52212773663985	120.65139229056207	144.17654447531402	421.48748285365235	-23.251761851025137	264.3561730594664	70.05027390468432	130.6431818695856	139.44582767369275	277.2078753427798	248.4237632363158	203.74635018580014	361.8116658439016	39.132716574544375	-13.8350935449794	225.08486926686348	392.7386101486289	859.3034621978458	-31.544288226526575	259.4303471223164	1159.507862220091	113.9848000162702	242.9104434415366	219.64842261386073	136.3868903805181	421.3063361849296	235.51922215740566
C3L-00368	262.87283441536863	191.82562763460038	170.86717354289905	63.92528550369484	123.33564925001005	181.11117159414204	183.99855391878782	110.80063879219041	265.28262771103084	118.35443090171708	132.6638566913565	434.47990914080356	-27.910271508529362	266.56563720968137	71.94846456335505	127.10474758788129	130.9735365100699	271.45009318856785	238.03035957718149	196.23365472032796	358.3198961380397	27.443687157266183	-10.649690457068516	231.7504410202302	401.3697940701766	873.693966390356	-29.272001961414247	262.9541449580563	1132.4883370121163	106.35701934889258	260.58001384037055	214.63106112344653	138.6763915848254	418.2621548381285	231.98880182426555
C3L-00412	246.29601100496993	205.23975914732898	162.73500320155898	76.05276007265454	123.42688724380758	178.19533930129438	189.14919492307186	133.06296738145977	254.75943054290667	121.82902134748062	149.90389769361263	435.8757515624592	-25.842387499013043	263.76674781111274	65.4584189426646	134.6372090348357	139.16862292979	276.1130316329156	238.12349033806612	205.77006974192352	350.7125307825018	32.38484459201119	-16.055497151551535	213.82240820576843	376.8029022272059	819.4896348628777	-30.05046640103768	256.50327716756857	1135.016340927542	101.95897020786934	252.44601216419466	223.65633599204295	124.65075494532925	413.1204314195371	237.03288843057982
C3L-00422	245.92395672108745	189.4014076323782	162.06542037174924	48.047009256439765	123.18858068427858	191.9952792440513	191.86644752090785	107.20436342307553	257.8160180930984	117.35214745408966	141.75194251141642	419.2468870316276	-32.48667725840049	283.71681545676296	68.97702413310815	124.7381980879023	129.87593851412117	285.53723191006804	236.3125252312575	210.5260613392779	350.9160041534631	36.982460824231964	-11.705816832998607	226.6607306032735	399.3906964661933	881.0877267731589	-37.03654798973146	258.94760611020473	1137.2950283718387	118.05011067861639	257.53651684406935	207.8651589314079	128.57453954621593	427.15589073107213	233.8162728694761
C3L-00510	243.4545206942246	175.46453337488293	161.48144813961378	46.088488767769775	112.53328601707501	162.84214737504826	167.80095546278412	101.75618671436159	255.5146271357876	122.88548438227284	129.86794568409078	398.1911218211745	-26.282117494140238	253.445423148786	71.39435410023347	109.66650526749584	120.70232899350822	260.9611847417625	220.52544449634723	184.27404440562816	343.5255048387193	21.774139090518517	-2.5574523352191108	216.44898656729472	391.09114142646916	852.296886869201	-32.19416290413935	247.57656176427128	1081.4126443317607	108.21808842782286	226.7227599933406	196.643027349875	127.75149562061928	399.24564553227185	227.99074558193988
C3L-00604	247.43515042334064	187.77946788756844	173.92898253001746	56.258121505128145	121.7223942969863	169.36112676008952	187.08593585800156	106.1403222340607	268.99676496806694	117.3873270371051	132.546303288422	415.99781883395104	-29.2229276511994	256.1002271585383	75.90840535509855	124.6122727412802	126.52243901539498	271.7652312148597	240.91094434285446	195.64142059464083	363.17726735108374	31.678038364663735	-5.675270009512971	226.79311972880961	407.1014000737189	887.6659421793569	-37.24860473085438	253.28769895627954	1145.2295403198511	113.9748626725897	251.58168671480271	209.80890796920178	138.91478290381053	420.86999481964574	231.4542029876337
C3L-00893	254.25586099519555	193.51240700061223	164.515923693153	63.997079109860195	113.86052780581723	177.6948930959146	182.73335637632806	109.6802388925087	259.709265653773	117.15404743451082	135.29921132672112	423.5780520628982	-22.780135869365793	265.8826170470216	64.73063478183248	116.41765008344639	127.56860765627853	269.86428335526233	223.11238860525097	192.39062196422864	354.11368693096875	24.15847768011143	-4.621553728040098	226.66747025695835	388.31396750142414	846.2040951341269	-29.559102190246804	255.2939320077055	1113.7313931593942	104.06956190631954	229.11097623297817	209.2623365560051	131.73777532794014	410.86567439119574	231.3666969677767
C3L-00913	259.61144403039367	205.74885747874765	180.2499443205774	71.70578662698934	134.68455362365722	213.00078337845633	187.879665647381	130.66377184528181	265.3337479131821	117.79288143226496	140.61572083705582	432.8755196321113	-22.236806352508793	266.1618474971567	81.81084116179869	142.00536537700896	147.01505064910134	279.92860373798914	259.61597240706953	215.67952356196054	373.54849290522304	33.8729194077972	-9.261447177957962	233.04614812551893	398.4988101066839	882.1836440935169	-34.12417511280513	264.2631890200255	1166.9091877771953	101.29760580163502	253.11139173618238	223.55062811226347	136.70582630963855	432.06235603309875	231.60542407747354
C3L-00973	248.9155000905892	205.29732662427395	168.2186941445792	80.47052562816914	124.57282847217702	185.78679150449426	189.6265582989621	136.56254018078798	259.8502686901016	117.89534353779564	134.90730470481742	438.80482714445816	-27.34087780300412	274.10972996996395	67.77612029717216	133.12822078032994	142.59606803866086	272.85906404528555	237.5555102574847	206.05797564987935	364.3006507407636	36.52653302617084	-11.795018543606474	222.66511015156647	389.3750350595754	840.3891166104772	-20.604158358562216	247.9249695047943	1146.8914186293737	107.51481813501778	241.32020812382837	214.68250383527044	127.01510421610436	423.3955741751031	232.05867687498431
C3L-01330	247.67340827687204	197.56574490413465	161.28476537907818	59.79146006974746	115.48622509076381	186.94191798549778	179.1985121639351	113.92255639422277	256.7233246485418	111.77439736300248	138.68489201851364	444.4646214791458	-26.16664558859047	283.3860216582732	66.31629660574757	116.18595426101172	129.1353500626108	275.05053886685005	215.8038748378176	197.489418255003	349.3849059427821	22.511809788111748	-9.587995792498248	224.3900845275409	389.98732258588126	862.2610687447841	-26.045165754471682	249.9960638218812	1128.2335336931828	102.38159639993938	236.0151853488269	211.30954968026194	135.55859972298782	407.2854228668197	233.41529805326726
